"description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"Gov't employee.student.proud pinoy.",2906,87,40,395,NA,"pet furing",2009-08-11 07:19:24,FALSE,FALSE,"petlove2","manila","en","64653195",0,FALSE,"http://pbs.twimg.com/profile_images/486544625184681984/npp1Pb_R_normal.jpeg"
"Kevin Mandrilla tweets here. Senior analyst and grad student.",3139,273,701,437,NA,"Johnny Depth",2009-05-05 17:45:40,FALSE,FALSE,"kevinalec","QC | Subic ","en","37975458",2,FALSE,"http://pbs.twimg.com/profile_images/864763078730174464/itTfBybK_normal.jpg"
"The RINJ Foundation purpose: Fight for the safety of women and children. Media: https://t.co/YNbaIVXCO2 Donate: https://t.co/qeH7lyCTSk",8862,5264,690,1636,"http://t.co/lOIyrgIsDn","RINJ",2011-10-08 11:49:16,FALSE,FALSE,"RapeIsNoJoke","Toronto ON CA","en","387058582",15,FALSE,"http://pbs.twimg.com/profile_images/442379067497541632/1am0-olx_normal.jpeg"
"",67977,4464,20036,1258,NA,"Baldik kay SarahG",2010-05-05 07:31:33,FALSE,FALSE,"cicima04","Las Vegas, NV","en","140341833",19,FALSE,"http://pbs.twimg.com/profile_images/626973335520350208/c4RRhoej_normal.jpg"
"And every night my mind is running around her <ed><U+00A0><U+00BC><ed><U+00BF><U+0083> 
Thunder's getting louder and louder <U+26A1>",27132,1039,9488,432,"https://t.co/eb1EjVq8Td","xavier",2011-03-24 08:02:56,FALSE,FALSE,"xavier_alvaran","Quezon City","en","271315165",13,FALSE,"http://pbs.twimg.com/profile_images/868130146699497473/9H44piC3_normal.jpg"
"",702,23,950,60,NA,"Emma Liddell",2017-03-08 08:27:45,FALSE,FALSE,"ELiddell5","","en","839392178392576000",0,FALSE,"http://pbs.twimg.com/profile_images/845404647216996352/KEQaqUKe_normal.jpg"
"<U+6D77><U+5916><U+306E><U+8A71><U+304C><U+591A><U+3081><U+3002><U+8FD1><U+9803><U+306F><U+3001><U+4E2D><U+56FD><U+304C><U+591A><U+3081>(<U+4E2D><U+56FD><U+6D77><U+8B66><U+5C40>·<U+4E2D><U+56FD><U+6D77><U+76E3><U+3002><U+6DF1><U+6D77><U+6F5C><U+6C34><U+8247><U+3002><U+611F><U+67D3><U+75C7><U+306A><U+3069>)<U+3002><U+3068><U+304D><U+3069><U+304D><U+96D1><U+6587><U+3001><U+306D><U+3053><U+3001><U+3044><U+306C><U+3001><U+3069><U+3046><U+3076><U+3064><U+3002><U+306B><U+3083><U+30FC><U+3093><U+266A>",83339,968,1415,1329,"http://t.co/R9cHyvs7dx","<U+307A><U+308A><U+304B><U+3093><U+3081><U+3082>",2010-11-13 01:34:31,FALSE,FALSE,"pelicanmemo","","ja","215118210",106,FALSE,"http://pbs.twimg.com/profile_images/2969147876/5aa1cc20cdb6e55135fefd1064ed56a5_normal.png"
"The official Twitter account of DWIZ 882 kHz, ang himpilang may Todong Lakas | Call us at 470-1750 to 54. Text us at 0908-136-6060",126651,5494,145,834,"https://t.co/WvS2f9ZHPo","DWIZ Newscenter",2010-08-01 18:49:52,FALSE,FALSE,"dwiz882","Pasig City, Philippines","en","173533146",94,FALSE,"http://pbs.twimg.com/profile_images/823397876722114561/pEbHbMeT_normal.jpg"
"#Jesus is my Lord! #Trump #ProudAmerican Be curious always! For knowledge will not acquire you: you must acquire it.",9464,757,133,1533,NA,"# Deplorable Patriot",2009-07-12 11:51:26,FALSE,FALSE,"Wolfgang1947","Rochester, MN","en","56076496",24,FALSE,"http://pbs.twimg.com/profile_images/797434261351448581/Sj3n2zaJ_normal.jpg"
"wei wu wei is the way",12272,473,9484,384,"https://t.co/7IkrarfIYc","rheta",2011-06-02 09:05:07,FALSE,FALSE,"RhetaGalut","Skyhold","en","309561922",3,FALSE,"http://pbs.twimg.com/profile_images/867731332830515200/o5u6cKG5_normal.jpg"
"",32366,1712,27154,2114,NA,"<ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><U+043B><U+044E><U+0431><U+0438><U+0442><U+044C><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>",2016-11-04 19:59:48,FALSE,FALSE,"IamAwake2017","","en","794630243105538048",0,FALSE,"http://pbs.twimg.com/profile_images/863198382684286976/3gpiJyyW_normal.jpg"
"",2927,64,1,517,NA,"karl glanz",2010-02-26 07:15:55,FALSE,FALSE,"charlykappel","","de","117672481",2,FALSE,"http://pbs.twimg.com/profile_images/1880908583/296611_176693795754849_100002426900916_372549_24109685_n_normal.jpg"
"News That Matters",32762,12592,204,221,"http://t.co/Ivui49Q4wc","Eagle News",2013-10-30 05:40:44,FALSE,FALSE,"EagleNewsPH","Quezon City,Philippines","en","2164169846",35,FALSE,"http://pbs.twimg.com/profile_images/445375814897377280/zvEzFFHl_normal.jpeg"
"Dr.eams and PTRP",9470,361,11594,317,NA,"Roma Fe Mabanag",2010-05-22 13:51:51,FALSE,FALSE,"RomaFeMabanag","isla","en","146843053",1,FALSE,"http://pbs.twimg.com/profile_images/827165750179700736/EMEio9GY_normal.jpg"
"|||<U+092E><U+0941><U+091D><U+0947> <U+0928><U+0939><U+0940><U+0902> <U+091C><U+093E><U+0928><U+0924><U+0947>!! <U+091C><U+0940><U+0935><U+0928> <U+0935><U+094D><U+092F><U+0930><U+094D><U+0925> <U+0939><U+0948> <U+0924><U+0941><U+092E><U+094D><U+0939><U+093E><U+0930><U+093E>|||          
#<U+092A><U+094D><U+0930><U+091A><U+0902><U+0921>_<U+092A><U+094D><U+0930><U+0936><U+0902><U+0938><U+0915> Of @asadowaisi <ed><U+00A0><U+00BD><ed><U+00B1><U+00B9><ed><U+00A0><U+00BD><ed><U+00B1><U+00B9>
Retweet Is <U+274C> Endorsement| 
||Notions Are Personal <ed><U+00A0><U+00BD><ed><U+00B3><U+009D><ed><U+00A0><U+00BD><ed><U+00B3><U+009D>",9794,148,5911,161,"https://t.co/1Hj9JDRdTP","United Against ISIS<U+274C>",2012-07-22 07:10:08,FALSE,FALSE,"SirAbdurRahman","Sharda Univrsity-Biotechnology","en","710267480",1,FALSE,"http://pbs.twimg.com/profile_images/847883776885538817/XQrNNQ6q_normal.jpg"
"",7650,85,12607,133,NA,"igignoramus",2016-07-21 12:25:35,FALSE,FALSE,"igignoramus","","en","756102824811913216",3,FALSE,"http://pbs.twimg.com/profile_images/805673276965982208/3j3UmWAc_normal.jpg"
"More into substance. Not just aesthetics. :)
IG: inah_chinita",3407,25,4682,200,NA,"Benette",2014-08-29 10:24:42,FALSE,FALSE,"inah_chinita","","en","2778181842",1,FALSE,"http://pbs.twimg.com/profile_images/849826943138582528/f6XG_e_4_normal.jpg"
"",1820,36,1324,40,NA,"Malu Lewis",2014-03-31 08:46:15,FALSE,FALSE,"malulew","Albuquerque","en","2420231616",0,FALSE,"http://pbs.twimg.com/profile_images/765714939411509248/QWI0IK1a_normal.jpg"
"Social Worker",1965,42,71,92,"http://t.co/phRsHKJASo","Joecel Trinidad",2009-06-21 04:37:25,FALSE,FALSE,"DJ_LadyExplorer","Montreal","en","49232914",9,FALSE,"http://pbs.twimg.com/profile_images/502595409127026688/gtYSob9u_normal.jpeg"
"Nonprofits Arts & Culture",56,6,346,16,NA,"Beth Thurston",2016-11-30 12:46:31,FALSE,FALSE,"hooosierbeth","Dunlap, IN","en","803943288407474176",0,FALSE,"http://pbs.twimg.com/profile_images/827501964527357952/B0pRAzQn_normal.jpg"
"Flags are important to all UK societies and social groups. They remain the ultimate symbol of identity. This is a flag retweet bot.",26839,2792,34,4,NA,"#forpeoplewithwind",2014-10-02 17:03:43,FALSE,FALSE,"peoplewithwind","Right across the world","en-gb","2800401886",88,FALSE,"http://pbs.twimg.com/profile_images/577769338481954816/7pEx4_A__normal.jpeg"
"Rabble-rouser extraordinaire.

Liberté, Egalité, Cadburé. Also, Ladurée.",189315,6412,18420,1622,NA,"Demontita Of Manila",2010-08-14 18:03:26,FALSE,FALSE,"mrsunlawyer","Manila, Philippines","en","178413007",84,FALSE,"http://pbs.twimg.com/profile_images/825193627680804864/TymIcJZ4_normal.jpg"
"Prof Global Islamic Politics, Alfred Deakin Institute for Globalisation & Citizenship (ADI) Deakin U, Melbourne, Aust. Views expressed are entirely personal",19557,1571,20805,438,NA,"Gregory James Barton",2016-07-07 07:42:53,FALSE,FALSE,"gregjamesbarton","Melbourne, Victoria","en","750958250510737408",37,FALSE,"http://pbs.twimg.com/profile_images/766076576949800965/ZXvDiKHK_normal.jpg"
"",15378,72,0,196,"https://t.co/ZdWzoue2Qc","Pinoy News Online",2016-02-19 02:17:11,FALSE,FALSE,"pinoynewsonline","Republic of the Philippines","en","700504371855949826",2,FALSE,"http://pbs.twimg.com/profile_images/700507016628826113/VXqClRsi_normal.png"
